,Count
ab,28
abb,3
ability,3
able,17
abn,3
abp,10
abroad,9
ac,27
access,19
accessory,10
accident,2
accommodate,2
accordance,12
according,121
account,16
accounted,10
accounting,11
acg,3
achieve,7
achieved,4
acid,2
acknowledged,3
acquire,24
acquired,37
acquires,4
acquiring,12
acquisition,78
act,13
acted,2
acting,3
action,11
activate,2
activating,2
activation,2
active,8
actively,3
activision,2
activity,36
actor,2
actual,13
actually,2
adac,2
adaptation,2
add,11
added,38
adding,3
addition,40
additional,16
additionally,4
address,7
adequacy,2
adequate,2
adjust,3
adjusted,3
adjusting,2
adjustment,9
administered,2
administration,19
administrator,2
adopting,2
adp,28
adpnews,12
advance,2
advanced,9
advantage,6
advertisement,2
advertiser,2
advertising,6
advise,2
advisory,5
afe,3
affair,3
affarsvarlden,3
affect,7
affected,6
affecto,12
affectogenimap,3
aforementioned,2
africa,12
african,2
afternoon,5
afx,22
ag,11
age,2
agency,4
agenda,3
agent,3
aggregate,3
agm,2
ago,27
agreed,38
agreement,118
agricultural,5
agro,2
ahead,4
ahlstrom,21
aho,3
aim,43
aimed,9
air,8
airbus,4
aircraft,5
airline,14
airport,7
aker,7
aktia,10
alandsbanken,3
albat,2
aldata,15
aleksandri,2
alexander,2
alexandria,18
alfa,4
alliance,3
allocated,2
allocation,2
allotted,2
allow,6
allowed,3
allows,10
alloy,2
allure,2
alma,32
aln,3
alternative,5
altia,2
altima,3
altimo,5
altogether,5
aluminium,8
aluminum,3
alus,4
amanda,4
ameas,2
amendment,4
amer,14
america,32
american,13
amounted,37
amounting,2
amplifier,4
amro,2
analysis,28
analyst,29
analytics,4
andhra,2
angeles,2
angler,2
animal,5
anne,2
announce,3
announced,71
announcement,19
annual,68
annually,8
annum,3
anode,2
ansa,2
answer,3
antenna,5
antibody,4
anticipated,5
anticipates,4
antti,2
anttila,3
antwerp,2
apart,3
apartment,10
apetit,2
apiece,3
apollo,2
app,2
appeal,2
appear,2
appears,3
apple,5
applicable,2
applicant,2
application,51
applied,6
apply,5
applying,2
appointed,10
appointment,2
approach,11
appropriate,3
approval,16
approve,3
approved,15
approx,3
approximately,69
april,52
arabia,3
arcelormittal,2
architecture,2
area,90
arena,7
arm,4
arranged,3
arrangement,13
art,12
arthritis,2
article,3
arto,2
asa,5
ashley,2
asia,20
asian,11
asimilar,2
ask,2
asked,4
asphalt,4
aspo,23
aspocomp,20
assembly,4
asset,29
assigned,4
assignment,4
associate,4
associated,6
association,12
assumption,2
assurance,2
astana,2
asx,2
atom,2
atomic,2
atrium,21
attached,4
attack,3
attempt,4
attention,3
attract,4
attractive,3
audi,2
audio,5
auditor,3
aug,4
august,46
australia,6
austria,7
austrian,4
authentication,2
authorisation,2
authority,17
authorization,2
authorized,3
auto,3
automated,2
automatically,3
automation,19
automobile,3
automotive,5
autotank,2
autumn,13
availability,2
available,40
avc,2
avenue,4
average,10
avesta,2
aviation,4
award,8
awarded,35
awareness,2
away,6
axe,2
ba,2
baby,2
backed,2
