,class,precision,recall,f1-score,support
0,2,1.0,1.0,1.0,248.0
1,3,0.6084656084656085,1.0,0.7565789473684211,115.0
2,4,0.0,0.0,0.0,74.0
3,5,0.0,0.0,0.0,41.0
4,6,0.0,0.0,0.0,36.0
5,7,0.0,0.0,0.0,27.0
6,8,0.0,0.0,0.0,16.0
7,9,0.0,0.0,0.0,9.0
8,10,0.0,0.0,0.0,12.0
9,11,0.0,0.0,0.0,18.0
10,12,0.0,0.0,0.0,14.0
11,13,0.0,0.0,0.0,9.0
12,14,0.0,0.0,0.0,13.0
13,15,0.0,0.0,0.0,6.0
14,16,0.0,0.0,0.0,6.0
15,17,0.0,0.0,0.0,5.0
16,18,0.0,0.0,0.0,10.0
17,19,0.0,0.0,0.0,16.0
18,20,0.0,0.0,0.0,3.0
19,21,0.0,0.0,0.0,4.0
20,22,0.0,0.0,0.0,5.0
21,23,0.0,0.0,0.0,4.0
22,24,0.0,0.0,0.0,5.0
23,25,0.0,0.0,0.0,5.0
24,26,0.0,0.0,0.0,1.0
25,27,0.0,0.0,0.0,4.0
26,28,0.0,0.0,0.0,8.0
27,29,0.0,0.0,0.0,3.0
28,30,0.0,0.0,0.0,4.0
29,31,0.0,0.0,0.0,1.0
30,32,0.0,0.0,0.0,1.0
31,33,0.0,0.0,0.0,3.0
32,34,0.0,0.0,0.0,2.0
33,35,0.0,0.0,0.0,2.0
34,36,0.0,0.0,0.0,2.0
35,37,0.0,0.0,0.0,4.0
36,38,0.0,0.0,0.0,1.0
37,40,0.0,0.0,0.0,2.0
38,41,0.0,0.0,0.0,1.0
39,44,0.0,0.0,0.0,1.0
40,46,0.0,0.0,0.0,2.0
41,48,0.0,0.0,0.0,1.0
42,50,0.0,0.0,0.0,1.0
43,51,0.0,0.0,0.0,1.0
44,58,0.0,0.0,0.0,1.0
45,59,0.0,0.0,0.0,2.0
46,61,0.0,0.0,0.0,1.0
47,62,0.0,0.0,0.0,3.0
48,63,0.0,0.0,0.0,1.0
49,64,0.0,0.0,0.0,1.0
50,68,0.0,0.0,0.0,1.0
51,71,0.0,0.0,0.0,2.0
52,74,0.0,0.0,0.0,1.0
53,75,0.0,0.0,0.0,1.0
54,76,0.0,0.0,0.0,1.0
55,78,0.0,0.0,0.0,1.0
56,79,0.0,0.0,0.0,1.0
57,83,0.0,0.0,0.0,1.0
58,85,0.0,0.0,0.0,1.0
59,87,0.0,0.0,0.0,1.0
60,97,0.0,0.0,0.0,1.0
61,99,0.0,0.0,0.0,1.0
62,106,0.0,0.0,0.0,1.0
63,112,0.0,0.0,0.0,1.0
64,113,0.0,0.0,0.0,1.0
65,118,0.0,0.0,0.0,1.0
66,121,0.0,0.0,0.0,1.0
67,147,0.0,0.0,0.0,1.0
68,149,0.0,0.0,0.0,1.0
69,211,0.0,0.0,0.0,1.0
70,267,0.0,0.0,0.0,1.0
71,285,0.0,0.0,0.0,1.0
72,294,0.0,0.0,0.0,1.0
73,383,0.0,0.0,0.0,0.0
74,472,0.0,0.0,0.0,1.0
75,797,0.0,0.0,0.0,1.0
76,accuracy,0.4647887323943662,0.4647887323943662,0.4647887323943662,0.4647887323943662
77,macro avg,0.021164021164021163,0.02631578947368421,0.023112880886426594,781.0
78,weighted avg,0.40713642122092825,0.4647887323943662,0.42894568367140645,781.0
